/home/jsolorzano/work/kf_fastqs
/home/jsolorzano/work/kf_fastqs
Started analysis of PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC200Tkf1_rev.fq.gz
Started analysis of PDAC201T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC201T_F8-9kf1_rev.fq.gz
Started analysis of PDAC201Tkf1_fwd.fq.gz
Started analysis of PDAC201Tkf1_rev.fq.gz
Started analysis of PDAC202T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC202T_F8-9kf1_rev.fq.gz
Started analysis of PDAC202Tkf1_fwd.fq.gz
Started analysis of PDAC202Tkf1_rev.fq.gz
Started analysis of PDAC203T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC203T_F8-9kf1_rev.fq.gz
Started analysis of PDAC203Tkf1_fwd.fq.gz
Started analysis of PDAC203Tkf1_rev.fq.gz
Approx 35% complete for PDAC202Tkf1_fwd.fq.gz
Approx 25% complete for PDAC201Tkf1_rev.fq.gz
Approx 80% complete for PDAC203T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC202T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC200Tkf1_fwd.fq.gz
Approx 70% complete for PDAC201T_F8-9kf1_fwd.fq.gz
Approx 35% complete for PDAC202Tkf1_rev.fq.gz
Approx 80% complete for PDAC203T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC203Tkf1_fwd.fq.gz
Approx 70% complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC202T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC200Tkf1_rev.fq.gz
Approx 45% complete for PDAC203Tkf1_rev.fq.gz
Approx 85% complete for PDAC203T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC202T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC203T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC201T_F8-9kf1_fwd.fq.gz
Approx 80% complete for PDAC202T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC202Tkf1_fwd.fq.gz
Approx 90% complete for PDAC203T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC200Tkf1_fwd.fq.gz
Approx 50% complete for PDAC203Tkf1_fwd.fq.gz
Approx 30% complete for PDAC201Tkf1_fwd.fq.gz
Approx 85% complete for PDAC202T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC203T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC200Tkf1_rev.fq.gz
Approx 40% complete for PDAC202Tkf1_rev.fq.gz
Approx 80% complete for PDAC201T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC201Tkf1_rev.fq.gz
Approx 50% complete for PDAC203Tkf1_rev.fq.gz
Approx 85% complete for PDAC202T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC203T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC202T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC203T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC201T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC200Tkf1_fwd.fq.gz
Approx 90% complete for PDAC202T_F8-9kf1_rev.fq.gz
Analysis complete for PDAC203T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC203Tkf1_fwd.fq.gz
Approx 85% complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 45% complete for PDAC202Tkf1_fwd.fq.gz
Started analysis of PDAC204T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC200Tkf1_rev.fq.gz
Approx 95% complete for PDAC202T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC203T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC203Tkf1_rev.fq.gz
Started analysis of PDAC204T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC202Tkf1_rev.fq.gz
Approx 95% complete for PDAC202T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC201T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC201Tkf1_fwd.fq.gz
Approx 5% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC202T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC204Tkf1_fwd.fq.gz
Approx 35% complete for PDAC201Tkf1_rev.fq.gz
Approx 60% complete for PDAC203Tkf1_fwd.fq.gz
Approx 10% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC200Tkf1_rev.fq.gz
Analysis complete for PDAC202T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC201T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC204Tkf1_rev.fq.gz
Approx 50% complete for PDAC202Tkf1_fwd.fq.gz
Approx 95% complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC203Tkf1_rev.fq.gz
Approx 15% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC202Tkf1_rev.fq.gz
Approx 20% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 25% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC201T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC205T_F8-9kf1_fwd.fq.gz
Approx 5% complete for PDAC204Tkf1_fwd.fq.gz
Analysis complete for PDAC201T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC203Tkf1_fwd.fq.gz
Approx 65% complete for PDAC200Tkf1_rev.fq.gz
Started analysis of PDAC205T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC204Tkf1_rev.fq.gz
Approx 65% complete for PDAC203Tkf1_rev.fq.gz
Approx 40% complete for PDAC201Tkf1_fwd.fq.gz
Approx 55% complete for PDAC202Tkf1_fwd.fq.gz
Approx 35% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC201Tkf1_rev.fq.gz
Approx 5% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC200Tkf1_fwd.fq.gz
Approx 35% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC202Tkf1_rev.fq.gz
Approx 70% complete for PDAC203Tkf1_fwd.fq.gz
Approx 10% complete for PDAC204Tkf1_fwd.fq.gz
Approx 70% complete for PDAC200Tkf1_rev.fq.gz
Approx 45% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 40% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC203Tkf1_rev.fq.gz
Approx 10% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC204Tkf1_rev.fq.gz
Approx 50% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC202Tkf1_fwd.fq.gz
Approx 75% complete for PDAC200Tkf1_fwd.fq.gz
Approx 55% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC203Tkf1_fwd.fq.gz
Approx 45% complete for PDAC201Tkf1_fwd.fq.gz
Approx 75% complete for PDAC200Tkf1_rev.fq.gz
Approx 60% complete for PDAC202Tkf1_rev.fq.gz
Approx 15% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC204Tkf1_fwd.fq.gz
Approx 60% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC203Tkf1_rev.fq.gz
Approx 45% complete for PDAC201Tkf1_rev.fq.gz
Approx 65% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 60% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 15% complete for PDAC204Tkf1_rev.fq.gz
Approx 80% complete for PDAC200Tkf1_fwd.fq.gz
Approx 20% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC202Tkf1_fwd.fq.gz
Approx 65% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC203Tkf1_fwd.fq.gz
Approx 80% complete for PDAC200Tkf1_rev.fq.gz
Approx 75% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC204Tkf1_fwd.fq.gz
Approx 25% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 70% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 65% complete for PDAC202Tkf1_rev.fq.gz
Approx 80% complete for PDAC203Tkf1_rev.fq.gz
Approx 25% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC201Tkf1_fwd.fq.gz
Approx 85% complete for PDAC200Tkf1_fwd.fq.gz
Approx 20% complete for PDAC204Tkf1_rev.fq.gz
Approx 30% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC203Tkf1_fwd.fq.gz
Approx 80% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC200Tkf1_rev.fq.gz
Approx 70% complete for PDAC202Tkf1_fwd.fq.gz
Approx 30% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC201Tkf1_rev.fq.gz
Approx 90% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC204Tkf1_fwd.fq.gz
Approx 85% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 85% complete for PDAC203Tkf1_rev.fq.gz
Approx 70% complete for PDAC202Tkf1_rev.fq.gz
Approx 35% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC200Tkf1_fwd.fq.gz
Approx 35% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC203Tkf1_fwd.fq.gz
Analysis complete for PDAC204T_F8-9kf1_fwd.fq.gz
Approx 25% complete for PDAC204Tkf1_rev.fq.gz
Started analysis of PDAC205Tkf1_fwd.fq.gz
Approx 90% complete for PDAC200Tkf1_rev.fq.gz
Approx 95% complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC202Tkf1_fwd.fq.gz
Approx 55% complete for PDAC201Tkf1_fwd.fq.gz
Approx 90% complete for PDAC203Tkf1_rev.fq.gz
Analysis complete for PDAC204T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC204Tkf1_fwd.fq.gz
Started analysis of PDAC205Tkf1_rev.fq.gz
Approx 40% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC200Tkf1_fwd.fq.gz
Approx 75% complete for PDAC202Tkf1_rev.fq.gz
Approx 95% complete for PDAC203Tkf1_fwd.fq.gz
Approx 5% complete for PDAC205Tkf1_fwd.fq.gz
Approx 55% complete for PDAC201Tkf1_rev.fq.gz
Approx 45% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC200Tkf1_rev.fq.gz
Approx 30% complete for PDAC204Tkf1_rev.fq.gz
Approx 45% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 95% complete for PDAC203Tkf1_rev.fq.gz
Approx 5% complete for PDAC205Tkf1_rev.fq.gz
Approx 80% complete for PDAC202Tkf1_fwd.fq.gz
Approx 35% complete for PDAC204Tkf1_fwd.fq.gz
Approx 50% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC200Tkf1_fwd.fq.gz
Started analysis of PDAC206T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC205Tkf1_fwd.fq.gz
Analysis complete for PDAC203Tkf1_fwd.fq.gz
Approx 60% complete for PDAC201Tkf1_fwd.fq.gz
Started analysis of PDAC206T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC202Tkf1_rev.fq.gz
Analysis complete for PDAC200Tkf1_rev.fq.gz
Started analysis of PDAC206Tkf1_fwd.fq.gz
Approx 5% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 55% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC205Tkf1_rev.fq.gz
Approx 35% complete for PDAC204Tkf1_rev.fq.gz
Analysis complete for PDAC203Tkf1_rev.fq.gz
Approx 5% complete for PDAC206T_F8-9kf1_rev.fq.gz
Started analysis of PDAC206Tkf1_rev.fq.gz
Approx 40% complete for PDAC204Tkf1_fwd.fq.gz
Approx 60% complete for PDAC201Tkf1_rev.fq.gz
Approx 85% complete for PDAC202Tkf1_fwd.fq.gz
Approx 10% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC205Tkf1_fwd.fq.gz
Approx 55% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 10% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 15% complete for PDAC205Tkf1_rev.fq.gz
Approx 85% complete for PDAC202Tkf1_rev.fq.gz
Approx 15% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 60% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC204Tkf1_rev.fq.gz
Approx 20% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 20% complete for PDAC205Tkf1_fwd.fq.gz
Approx 65% complete for PDAC201Tkf1_fwd.fq.gz
Approx 65% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 45% complete for PDAC204Tkf1_fwd.fq.gz
Approx 20% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 90% complete for PDAC202Tkf1_fwd.fq.gz
Approx 5% complete for PDAC206Tkf1_fwd.fq.gz
Approx 25% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 20% complete for PDAC205Tkf1_rev.fq.gz
Approx 25% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 5% complete for PDAC206Tkf1_rev.fq.gz
Approx 70% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 65% complete for PDAC201Tkf1_rev.fq.gz
Approx 30% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 90% complete for PDAC202Tkf1_rev.fq.gz
Approx 25% complete for PDAC205Tkf1_fwd.fq.gz
Approx 45% complete for PDAC204Tkf1_rev.fq.gz
Approx 30% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 50% complete for PDAC204Tkf1_fwd.fq.gz
Approx 35% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 75% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 95% complete for PDAC202Tkf1_fwd.fq.gz
Approx 25% complete for PDAC205Tkf1_rev.fq.gz
Approx 35% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC201Tkf1_fwd.fq.gz
Approx 40% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 30% complete for PDAC205Tkf1_fwd.fq.gz
Approx 75% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 40% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 80% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Approx 10% complete for PDAC206Tkf1_fwd.fq.gz
Approx 95% complete for PDAC202Tkf1_rev.fq.gz
Approx 45% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC204Tkf1_rev.fq.gz
Approx 55% complete for PDAC204Tkf1_fwd.fq.gz
Approx 45% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 30% complete for PDAC205Tkf1_rev.fq.gz
Approx 10% complete for PDAC206Tkf1_rev.fq.gz
Approx 80% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 70% complete for PDAC201Tkf1_rev.fq.gz
Approx 50% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Analysis complete for PDAC202Tkf1_fwd.fq.gz
Approx 35% complete for PDAC205Tkf1_fwd.fq.gz
Approx 85% complete for PDAC205T_F8-9kf1_fwd.fq.gz
Started analysis of PDAC207T_F8-9kf1_fwd.fq.gz
Approx 50% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 55% complete for PDAC206T_F8-9kf1_fwd.fq.gz
Approx 85% complete for PDAC205T_F8-9kf1_rev.fq.gz
Approx 75% complete for PDAC201Tkf1_fwd.fq.gz
Analysis complete for PDAC202Tkf1_rev.fq.gz
Approx 55% complete for PDAC206T_F8-9kf1_rev.fq.gz
Approx 35% complete for PDAC205Tkf1_rev.fq.gz
